fremdsprache,deutsch,deklination,lektion,richtig,falsch
deus,der Gott i m,i m,5.1,0,0
vocare,rufen nennen,,5.1,0,0
nobis,uns,,5.1,0,0
auxillium,die Hilfe i n,i n,5.1,0,0
tum,dann darauf,,5.1,0,0
nisi,wenn nicht außer,,5.1,0,0
tradere,übergeben überliefern trado tradidi traditum,trado tradidi traditum,5.1,0,0
incipere,anfangen incipio coepi coeptum,incipio coepi coeptum,5.1,0,0
ubi,wo als,,7,70,0
iubere,befehlen,iubeo iussi iussum,7,59,12
signum,das zeichen das Feldzeichen die Statue,i n,7,56,15
nisi,wenn nicht,,7,55,13
tradere,übergeben überliefern,trado tradidi traditum,7,35,43
cum,wenn als nachdem weil obwohl,,7,47,10
populus,das Volk,i m,7,47,6
iactare,werfen,,7,55,1
omnes,alle,,7,54,1
que,und,,7,55,0
cogere,zusammentreiben versammeln zwingen,cogo coegi coactum,7,29,11
deus,der Gott,i m,7,31,8
metuere,fürchten,metuo metui,7,33,7
occidere,sterben,occido occidi,7,33,5
oppidum,die Siedlung die Stadt,i n,7,30,12
auferre,wegtragen rauben,au-fero abs-tuli ab-latum,7,26,23
respondere,antworten,respondeo spondi responsum,7,35,9
mihi,mir,,7,35,5
religio,die religiöse Ehrfurcht,religionis f,7,37,5
prohibere,abhalten hindern,,7,34,10
senatus,der Senat,us m,7,32,7
permittere,erlauben,mitto misi missum,7,23,10
poena,die Strafe,ae f,7,22,11
narrare,erzählen,,7,29,3
vivus,lebend lebendig,a um,7,23,10
relinquere,zurücklassen verlassen,relinquo reliqui relictum,7,16,26
negare,"sagen, dass nicht verneinen",,7,30,15
statua,die Statue,ae f,7,27,4
sedere,sitzen,sedeo sedi sessum,7,25,8
praeceps,kopfüber steil,praecipitis,7,25,7
forum,das Forum der Markt,i n,7,43,13
nudus,nackt,a um,7,35,7
constituere,aufstellen festsetzen beschließen,con stituo stui stitutum,7,16,35
vincire,fesseln binden,vincio vinxi vinctum,7,28,17
mens,der Sinn der Verstand,mentis f,7,29,21
necesse est,es ist nötig man muss,,7,28,5
finis,das Ende die Grenze das Ziel,is m,7,21,27
iniuria,das Unrecht,ae f,7,20,15
crudelitas,die Grausamkeit,atis f,7,34,4
clamor,das Geschrei der Lärm,clamoris m,7,19,16
promittere,versprechen,pro mitto misi missum,7,19,8
immortalis,unsterblich,is e,7,25,0
oportet,es gehört sich,,7,21,18
ita,so,,7,20,4
vix,kaum,,7,30,4
iubere,befehlen,iubeo iussi iussum,7.1,21,5
